name,type,value
`PRIMER_GC_CLAMP <http://primer3.ut.ee/primer3web_help.htm#PRIMER_GC_CLAMP>`_,<class 'int'>,0
`PRIMER_MAX_END_GC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_END_GC>`_,<class 'int'>,5
`PRIMER_MIN_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MIN_TM>`_,<class 'float'>,57.0
`PRIMER_INTERNAL_MIN_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MIN_TM>`_,<class 'float'>,57.0
`PRIMER_OPT_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_OPT_TM>`_,<class 'float'>,60.0
`PRIMER_INTERNAL_OPT_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_OPT_TM>`_,<class 'float'>,60.0
`PRIMER_MAX_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_TM>`_,<class 'float'>,63.0
`PRIMER_INTERNAL_MAX_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_TM>`_,<class 'float'>,63.0
`PRIMER_PAIR_MAX_DIFF_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_DIFF_TM>`_,<class 'float'>,100.0
`PRIMER_WT_TM_LT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_TM_LT>`_,<class 'float'>,1.0
`PRIMER_INTERNAL_WT_TM_LT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_TM_LT>`_,<class 'float'>,1.0
`PRIMER_WT_TM_GT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_TM_GT>`_,<class 'float'>,1.0
`PRIMER_INTERNAL_WT_TM_GT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_TM_GT>`_,<class 'float'>,1.0
`PRIMER_PAIR_WT_DIFF_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_DIFF_TM>`_,<class 'float'>,0.0
`PRIMER_PRODUCT_MIN_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PRODUCT_MIN_TM>`_,<class 'float'>,-1000000.0
`PRIMER_PRODUCT_OPT_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PRODUCT_OPT_TM>`_,<class 'float'>,0.0
`PRIMER_PRODUCT_MAX_TM <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PRODUCT_MAX_TM>`_,<class 'float'>,1000000.0
`PRIMER_PAIR_WT_PRODUCT_TM_LT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_PRODUCT_TM_LT>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_PRODUCT_TM_GT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_PRODUCT_TM_GT>`_,<class 'float'>,0.0
`PRIMER_TM_FORMULA <http://primer3.ut.ee/primer3web_help.htm#PRIMER_TM_FORMULA>`_,<class 'int'>,1
`PRIMER_SALT_MONOVALENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_SALT_MONOVALENT>`_,<class 'float'>,50.0
`PRIMER_INTERNAL_SALT_MONOVALENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_SALT_MONOVALENT>`_,<class 'float'>,50.0
`PRIMER_SALT_DIVALENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_SALT_DIVALENT>`_,<class 'float'>,1.5
